Parent Company,Year,Total Direct Emissions,Total Supplier Emissions,Direct Point Emitters,Onshore Oil & Gas Prod.,Gathering & Boosting,Transmission Pipelines,LDC - Direct Emissions,SF6 from Elec. Equip.,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply ,Facility Count
1804 LTD,2016,70403.146,0.0,70403.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1804 LTD,2017,63497.948,0.0,63497.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1804 LTD,2018,67215.636,0.0,67215.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1804 LTD,2019,80080.998,0.0,80080.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1804 LTD,2020,64293.558,0.0,64293.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1804 LTD,2021,104096.25200000001,0.0,74320.604,0.0,29775.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1804 LTD,2022,95195.412,0.0,67585.616,0.0,27609.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1804 LTD,2023,114171.63999999998,0.0,70700.646,0.0,43470.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"1876 Resources, LLC",2023,27277.218,0.0,0.0,27277.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
31 GROUP LLC,2017,48070.638,0.0,0.0,0.0,48070.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
31 GROUP LLC,2018,47998.248,0.0,0.0,0.0,47998.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
